@RELATION snake_game_train

@ATTRIBUTE snake_length NUMERIC
@ATTRIBUTE snake_x {WEST, EAST}
@ATTRIBUTE snake_y {NORTH, SOUTH}
@ATTRIBUTE food_x {WEST, EAST}
@ATTRIBUTE food_y {NORTH, SOUTH}
@ATTRIBUTE rel_pos {0, 1, 2, 3}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE direction {NORTH, SOUTH, WEST, EAST}

@DATA
53,WEST,SOUTH,EAST,SOUTH,1,2982,EAST
13,EAST,NORTH,EAST,SOUTH,3,666,EAST
5,WEST,SOUTH,WEST,SOUTH,0,130,WEST
10,EAST,SOUTH,WEST,SOUTH,2,472,SOUTH
29,EAST,SOUTH,WEST,NORTH,0,1759,NORTH
16,WEST,NORTH,EAST,SOUTH,3,888,EAST
17,WEST,SOUTH,WEST,SOUTH,0,908,WEST
18,WEST,NORTH,WEST,NORTH,0,1003,EAST
5,WEST,NORTH,WEST,SOUTH,2,96,WEST
12,EAST,NORTH,EAST,SOUTH,3,586,EAST
30,WEST,SOUTH,WEST,SOUTH,2,1743,SOUTH
49,EAST,SOUTH,EAST,SOUTH,2,2699,SOUTH
12,EAST,SOUTH,EAST,SOUTH,3,566,EAST
17,WEST,SOUTH,WEST,NORTH,0,906,NORTH
13,WEST,SOUTH,WEST,NORTH,0,627,WEST
34,EAST,NORTH,WEST,NORTH,0,2045,WEST
37,WEST,NORTH,EAST,NORTH,1,2106,SOUTH
18,WEST,NORTH,WEST,SOUTH,2,971,SOUTH
12,EAST,SOUTH,EAST,SOUTH,3,583,SOUTH
30,WEST,SOUTH,WEST,SOUTH,0,1719,NORTH
47,WEST,SOUTH,WEST,SOUTH,3,2626,SOUTH
9,WEST,SOUTH,EAST,NORTH,1,434,NORTH
36,EAST,NORTH,EAST,NORTH,0,2130,NORTH
40,WEST,SOUTH,EAST,SOUTH,1,2270,SOUTH
8,EAST,NORTH,EAST,NORTH,1,346,EAST
9,EAST,SOUTH,EAST,NORTH,1,439,EAST
9,WEST,SOUTH,EAST,NORTH,1,411,NORTH
36,WEST,SOUTH,WEST,NORTH,0,2098,NORTH
54,EAST,NORTH,EAST,NORTH,0,3041,EAST
20,WEST,NORTH,WEST,NORTH,0,1109,NORTH
36,EAST,SOUTH,WEST,NORTH,0,2115,WEST
3,WEST,NORTH,WEST,SOUTH,2,-29,SOUTH
8,EAST,SOUTH,WEST,SOUTH,2,373,WEST
43,WEST,NORTH,EAST,NORTH,3,2392,SOUTH
34,WEST,SOUTH,WEST,SOUTH,3,1885,SOUTH
19,EAST,NORTH,EAST,SOUTH,3,1059,EAST
10,WEST,NORTH,EAST,NORTH,1,435,EAST
8,WEST,SOUTH,WEST,SOUTH,0,342,WEST
17,WEST,NORTH,WEST,NORTH,0,914,WEST
53,EAST,SOUTH,EAST,SOUTH,1,3004,EAST
18,WEST,NORTH,WEST,NORTH,1,981,EAST
17,EAST,NORTH,EAST,SOUTH,3,936,EAST
11,WEST,NORTH,WEST,NORTH,1,516,NORTH
24,EAST,NORTH,EAST,NORTH,0,1346,SOUTH
20,WEST,SOUTH,WEST,SOUTH,1,1146,WEST
6,WEST,SOUTH,WEST,SOUTH,1,155,NORTH
28,EAST,NORTH,EAST,SOUTH,2,1686,WEST
12,WEST,NORTH,WEST,NORTH,0,603,NORTH
10,EAST,NORTH,EAST,NORTH,0,404,EAST
4,EAST,NORTH,EAST,NORTH,1,50,SOUTH
11,EAST,NORTH,EAST,SOUTH,2,486,WEST
43,WEST,NORTH,EAST,NORTH,3,2402,SOUTH
16,WEST,NORTH,WEST,NORTH,0,772,WEST
21,EAST,SOUTH,EAST,SOUTH,2,1146,SOUTH
22,EAST,SOUTH,WEST,SOUTH,2,1239,WEST
5,WEST,SOUTH,WEST,SOUTH,2,139,SOUTH
43,WEST,NORTH,EAST,NORTH,3,2390,EAST
11,WEST,SOUTH,WEST,NORTH,0,519,EAST
10,WEST,SOUTH,EAST,SOUTH,1,438,EAST
17,EAST,SOUTH,WEST,SOUTH,2,950,WEST
5,WEST,SOUTH,WEST,SOUTH,0,127,WEST
35,EAST,NORTH,EAST,SOUTH,2,2087,WEST
11,WEST,SOUTH,WEST,NORTH,1,550,SOUTH
54,EAST,NORTH,EAST,NORTH,3,3027,WEST
50,WEST,SOUTH,EAST,NORTH,1,2798,WEST
14,EAST,NORTH,EAST,NORTH,0,723,EAST
49,EAST,NORTH,EAST,SOUTH,2,2735,SOUTH
33,WEST,NORTH,EAST,NORTH,1,1834,EAST
3,EAST,NORTH,EAST,SOUTH,2,-52,SOUTH
40,EAST,SOUTH,EAST,SOUTH,2,2256,NORTH
11,WEST,SOUTH,WEST,NORTH,0,514,NORTH
29,WEST,SOUTH,WEST,SOUTH,3,1660,EAST
4,WEST,NORTH,WEST,NORTH,0,-25,NORTH
6,WEST,SOUTH,WEST,SOUTH,3,224,NORTH
27,EAST,SOUTH,EAST,SOUTH,2,1490,SOUTH
27,EAST,NORTH,EAST,SOUTH,2,1512,SOUTH
